Countries_names,WHO Region,Cases_cumulative total,Deaths - cumulative total,Deaths - newly reported in last 24 hours
Global,,517648631,6261708,1738
United States of America,Americas,81417085,991595,622
India,South-East Asia,43116254,524190,9
Brazil,Americas,30617786,664516,126
France,Europe,28244891,143901,82
Germany,Europe,25661838,137348,164
The United Kingdom,Europe,22145161,176835,0
Russian Federation,Europe,18250290,377464,105
Republic of Korea,Western Pacific,17727086,23606,52
Italy,Europe,16915301,164846,0
Turkey,Europe,15050227,98878,8
